Index;Navn;Moh;Pf;Kartblad M711;Koordinater UTM 32V;Koordinater grad, min, sek
[64] ;Nørdre Trollsteinhøe ;2201;347;1618 III «Glittertinden» ;477900 6841000 ;61°42′05″N 08°34′56″Ø
[65] ;Søre Blåbreahøe ;2196;63;1618 III «Glittertinden» ;476400 6823450 ;61°32′38″N 08°33′22″Ø
[66] ;Nautgardstinden, Ø ;2194;45;1618 III «Glittertinden» ;487850 6830850 ;61°36′39″N 08°46′15″Ø
[67] ;Kvitskardtinden ;2193;300;1617 IV «Gjende» ;476200 6807050 ;61°23′48″N 08°33′16″Ø
[68] ;Slettmarkhøe ;2190;440;1617 IV «Gjende» ;472300 6807500 ;61°24′02″N 08°28′53″Ø
[69] ;Sokse ;2189;160;1518 II «Galdhøpiggen» ;453950 6825650 ;61°33′42″N 08°08′00″Ø
[70] ;Hellstugutinden, S-2 ;2189;140;1518 II «Galdhøpiggen» ;469250 6821750 ;61°31′41″N 08°25′19″Ø
[71] ;Veobrehesten ;2185;50;1618 III «Glittertinden» ;472000 6828900 ;61°35′33″N 08°28′21″Ø
[72] ;Knutsholstinden, N ;2185;55;1617 IV «Gjende» ;476300 6811250 ;61°26′04″N 08°33′21″Ø
[73] ;Veobreatinden ;2183;100;1618 III «Glittertinden» ;472950 6827500 ;61°34′48″N 08°29′26″Ø
[74] ;Svellnosbreahesten ;2181;30;1518 II «Galdhøpiggen» ;463200 6832150 ;61°37′15″N 08°18′22″Ø
[75] ;Rondslottet ;2178;1220;1718 I «Rondane» ;544700 6865000 ;61°54′54″N 09°51′04″Ø
[76] ;Stornubben ;2174;170;1618 III «Glittertinden» ;489150 6832700 ;61°37′39″N 08°47′43″Ø
[77] ;Hestbrepiggen, N-2 ;2172;870;1518 IV «Pollfoss» ;451750 6846700 ;61°45′01″N 08°05′10″Ø
[78] ;Trollsteinrundhøe ;2170;140;1618 III «Glittertinden» ;476550 6838050 ;61°40′30″N 08°33′25″Ø
[79] ;Loftet ;2170;340;1518 II «Galdhøpiggen» ;453650 6832500 ;61°37′23″N 08°07′33″Ø
[80] ;Knutsholstinden, M ;2170;40;1617 IV «Gjende» ;476200 6810750 ;61°25′48″N 08°33′14″Ø
